查询词,样本量,名句呈现类,仿写玩梗类,共鸣纪念类,知识讲解类,剧情演绎类,无关混入,其他
鲁迅说,147,41.50,18.37,10.20,19.05,0.00,7.48,3.40
故事新编 鲁迅,18,5.56,0.00,0.00,83.33,11.11,0.00,0.00
