stratum,category,k,n,proportion,ci95_low,ci95_high
S1,讽刺批判/当代迁移,121,209,0.5789,0.5112,0.6439
S1,情感共鸣/个人经验,97,209,0.4641,0.3978,0.5318
S1,文学专业维度,73,209,0.3493,0.2879,0.4161
S1,篇目/人物指涉,119,209,0.5694,0.5016,0.6347
S3,讽刺批判/当代迁移,109,827,0.1318,0.1104,0.1566
S3,情感共鸣/个人经验,99,827,0.1197,0.0993,0.1436
S3,文学专业维度,28,827,0.0339,0.0235,0.0485
S3,篇目/人物指涉,100,827,0.1209,0.1004,0.1449
